               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.047173,             0.10978,                   0,             0.99255,             0.96838,             0.99077,             0.67523,            0.043558,             0.09979,                   0,          0.00092674,          0.00092674,          0.00092674
                  39,            0.045629,             0.10321,                   0,             0.98107,             0.97283,              0.9907,             0.66422,            0.041434,            0.097837,                   0,          0.00092476,          0.00092476,          0.00092476
                  40,            0.043803,             0.10388,                   0,             0.97909,             0.97178,             0.99175,             0.68293,            0.039781,            0.096272,                   0,          0.00092278,          0.00092278,          0.00092278
                  41,             0.04176,             0.10498,                   0,             0.98901,             0.97821,             0.99347,             0.63863,            0.041986,             0.10165,                   0,           0.0009208,           0.0009208,           0.0009208
                  42,            0.042738,             0.10743,                   0,             0.99022,              0.9753,              0.9923,             0.64928,            0.041411,            0.096773,                   0,          0.00091882,          0.00091882,          0.00091882
                  43,            0.042131,             0.10377,                   0,             0.98897,             0.98123,             0.99291,             0.67859,            0.041268,            0.095392,                   0,          0.00091684,          0.00091684,          0.00091684
                  44,            0.042752,             0.10203,                   0,             0.98615,             0.96937,             0.98892,              0.6687,            0.039653,            0.092542,                   0,          0.00091486,          0.00091486,          0.00091486
                  45,            0.042863,            0.099225,                   0,             0.99596,             0.97396,             0.99128,             0.70114,            0.038967,            0.093973,                   0,          0.00091288,          0.00091288,          0.00091288
                  46,            0.041046,             0.10195,                   0,             0.98524,             0.98908,             0.99441,             0.69261,            0.038492,            0.096335,                   0,           0.0009109,           0.0009109,           0.0009109
                  47,            0.041914,             0.10197,                   0,             0.98996,             0.97444,               0.993,             0.69721,            0.038344,            0.093902,                   0,          0.00090892,          0.00090892,          0.00090892
                  48,             0.04251,             0.11048,                   0,             0.98579,             0.95939,             0.98997,              0.6807,            0.040029,             0.09684,                   0,          0.00090694,          0.00090694,          0.00090694
                  49,             0.04403,             0.10508,                   0,             0.98849,             0.96047,             0.99159,             0.68008,             0.04034,              0.1016,                   0,          0.00090496,          0.00090496,          0.00090496
                  50,            0.041723,             0.10774,                   0,             0.98287,             0.96407,             0.98765,             0.68832,            0.039651,             0.09563,                   0,          0.00090298,          0.00090298,          0.00090298
                  51,            0.041079,             0.10002,                   0,             0.99102,             0.98162,             0.99459,             0.71862,            0.038214,            0.094574,                   0,            0.000901,            0.000901,            0.000901
                  52,            0.040759,              0.1013,                   0,             0.98708,             0.98116,             0.99211,             0.66278,             0.04319,            0.097841,                   0,          0.00089902,          0.00089902,          0.00089902
                  53,            0.042709,              0.1053,                   0,             0.98454,              0.9753,             0.98974,             0.63015,            0.044369,              0.1074,                   0,          0.00089704,          0.00089704,          0.00089704
                  54,             0.04584,             0.10412,                   0,             0.99099,             0.97819,               0.994,              0.6897,            0.039352,            0.092914,                   0,          0.00089506,          0.00089506,          0.00089506
                  55,            0.043549,              0.1031,                   0,             0.99248,             0.97925,             0.99242,             0.68699,            0.040283,            0.092171,                   0,          0.00089308,          0.00089308,          0.00089308
                  56,            0.043108,            0.097362,                   0,             0.99008,             0.98598,             0.99257,             0.73994,             0.03723,            0.090327,                   0,           0.0008911,           0.0008911,           0.0008911
                  57,             0.04213,            0.097191,                   0,             0.99193,             0.98518,             0.99369,             0.66915,            0.041229,            0.096523,                   0,          0.00088912,          0.00088912,          0.00088912
                  58,             0.04221,             0.10156,                   0,             0.99301,             0.98211,             0.99409,             0.71498,            0.036676,            0.092788,                   0,          0.00088714,          0.00088714,          0.00088714
                  59,            0.040593,             0.10019,                   0,             0.99389,             0.97431,             0.99252,              0.7378,            0.036767,            0.090602,                   0,          0.00088516,          0.00088516,          0.00088516
                  60,            0.040178,             0.09541,                   0,             0.99204,              0.9832,             0.99221,             0.73764,            0.036472,            0.089788,                   0,          0.00088318,          0.00088318,          0.00088318
                  61,            0.040305,            0.096101,                   0,             0.98798,             0.97436,             0.99291,             0.74663,            0.037331,            0.091507,                   0,           0.0008812,           0.0008812,           0.0008812
                  62,            0.039533,            0.099749,                   0,             0.99146,              0.9753,             0.99193,             0.73153,            0.038465,            0.092605,                   0,          0.00087922,          0.00087922,          0.00087922
                  63,            0.040199,             0.10012,                   0,             0.98813,             0.98701,             0.99447,             0.70634,            0.037776,            0.096226,                   0,          0.00087724,          0.00087724,          0.00087724
                  64,            0.041539,             0.10035,                   0,             0.99413,             0.96344,             0.98972,             0.69302,              0.0395,             0.10104,                   0,          0.00087526,          0.00087526,          0.00087526
                  65,            0.040451,             0.10051,                   0,             0.99914,             0.97332,             0.99321,              0.6831,            0.038676,              0.1017,                   0,          0.00087328,          0.00087328,          0.00087328
